code	meaning
E-86131	ANTI-SOMATOSTATIN
E-86140	GONADOTROPIN RELEASING FACTOR (GRF)
E-86401	BOVINE GAMMA GLOBULIN
E-86402	BETA LACTOGLOBULIN
E-86410	RABIES ANTISERUM
E-86420	BOTULISM ANTITOXIN
E-86470	TETANUS ANTITOXIN
E-864X0	GAMMA GLOBULIN
E-86580	POLIOVIRUS VACCINE
E-86590	RABIES VACCINE
E-86720	ANTILYMPHOCYTE SERUM
E-867X0	TETANUS TOXOID
E-86840	SERUM GLOBULIN
E-87010	ACETIC ACID DILUTE
E-87200	ELECTROLYTE REPLENISHER, NOS
E-87201	ELECTROLYTES, ORAL, NOS
E-87210	CALCIUM CHLORIDE
E-87220	CALCIUM LACTATE
E-87230	CALCIUM GLUCONATE
E-87240	POTASSIUM BICARBONATE
E-87250	POTASSIUM CHLORIDE
E-87270	SODIUM CHLORIDE
E-87280	POTASSIUM GLUCONATE
E-87340	RINGERS SOLUTION
E-87350	LACTATED RINGERS SOLUTION
E-87360	SODIUM LACTATE
E-87380	POTASSIUM PHOSPHATE
E-87430	FOOD, NOS
E-87431	HIGH PROTEIN MONKEY CHOW
E-87501	VITAMIN B COMPLEX, NOS
E-87510	ASCORBIC ACID
E-87520	SODIUM ASCORBATE
E-87530	VITAMIN D2 (CALCIFEROL PREPARATION)
E-87580	BIOTIN
E-87600	MULTIVITAMIN PREPARATION
E-87601	MULTIPLE VITAMIN, ORAL
E-87630	ERGOSTEROL
E-87650	VITAMIN A PREPARATION
E-87680	CHOLINE PREPARATION
E-87690	VITAMIN E PREPARATION
E-876X0	VITAMIN D PREPARATION
E-87700	ALPHA TOCOPHEROL
E-87710	CALCIUM PANTOTHENATE
E-87720	CYANOCOBALAMIN
E-87740	FOLIC ACID PREPARATION
E-87770	NIACIN PREPARATION
E-87790	VITAMIN K PREPARATION
E-87810	NIACINAMIDE PREPARATION
E-87820	PHYTONADIONE
E-87830	PYRIDOXINE PREPARATION
E-87840	RIBOFLAVIN PREPARATION
E-87860	THIAMINE HYDROCHLORIDE
E-87870	THIAMINE NITRATE
E-87930	EDETATE DISODIUM
E-88110	NALAXONE
E-88450	DIPHENHYDRAMINE (BENADRYL)
E-88490	CYPROHEPTADINE
E-88510	DOXYLAMINE
E-889Y0	MANNITOL
E-89190	FUROSEMIDE (LASIX)
E-89200	ENZYME PREPARATION, NOS
E-89240	HYALURONIDASE PREPARATION (WYDASE)
E-89270	PEPSIN
E-89290	TRYPSIN
E-89650	EUGENOL
E-89690	ERGOTAMINE
E-89730	ANGIOTENSIN, NOS
E-89970	DIMETHYL SULFOXIDE (DMSO)
E-89990	GALACTOSE
E-90000	PHYSICAL AGENT, NOS
E-90020	TRAUMATIC AGENT, NOS
E-90100	THERAPEUTIC DEVICE, NOS
E-90110	ORTHOPEDIC DEVICE
E-90130	PLATE
E-90150	PIN
E-90160	SCREW
E-90170	WIRE
E-90200	METAL DEVICE, NOS
E-90320	RESPIRATOR
E-90330	INCUBATOR, INFANT
E-90340	PERFUSION PUMP
E-90341	OSMOTIC PERFUSION PUMP
E-90370	PLASTER CAST
E-90400	ELECTRONIC MONITOR
E-90420	STIMULATOR
E-90440	ENDOSCOPE
E-90460	ADHESIVE, NOS
E-90470	BANDAGE, NOS
E-90500	DEVICE, NOS
E-90510	HYPODERMIC NEEDLE
E-90580	TAMPON
E-90590	CATHETER
E-90600	TUBE, NOS
E-90620	PLASTIC TUBE
E-90650	FEEDING TUBE
E-90660	ARTERIAL CANNULA
E-90680	SUTURE, SURGICAL
E-90790	THERMOMETER
E-91000	TRANSPORT VEHICLE, NOS
E-91130	FORK LIFT TRUCK
E-93200	RADIATION, NOS
E-93270	LASER
E-93900	INSTRUMENT, NOS
E-94270	SURGICAL INSTRUMENT
E-95200	FALLING OBJECT, NOS
E-95970	TROPICAMIDE HCL
E-98000	PHYSICAL FORCE, NOS
E-98020	ENVIRONMENTAL AGENT, NOS
E-98200	HEAT, NOS
E-98210	COLD, NOS
E-98220	WIND, NOS
E-98280	HUMIDITY, HIGH
E-98290	HUMIDITY, LOW
E-X0000	DIET, NOS
E-X0001	SUSTAGEN
E-X0002	NUTRAMIGEN
E-X0003	PROGESTIMIL
E-X0004	FLEXICAL
E-X0005	TANG
E-X0100	NORMAL DIET, NOS
E-X0200	BASIC HOSPITAL DIET, NOS
E-X0210	WEIGHT MAINTENANCE REGIMEN OR DIET
E-X0220	WEIGHT REDUCTION REGIMEN OR DIET
E-X0250	HARD DIET
E-X0430	DIET, MECHANICAL SOFT
E-X0450	DIET, LIQUID
E-X0470	DIET, TUBE FEEDINGS
E-X0610	DIET, INCREASED PROTEIN
E-X0660	DIET, LACTOSE FREE
E-X0700	FAT DIET, NOS
E-X1200	MISCELLANEOUS DIET (FRUIT)
E-X1420	DIET, CHRONIC RENAL FAILURE
E-YY001	NO VIRAL GROWTH
E-YY002	VIRUS CONSISTENT WITH SAIDS RETROVIRUS
E-YY003	CYCLOPAMINE
E-YY004	DIFLUNISAL
E-YY005	DIMETHYLBENZATHRACENE
E-YY006	EM-87
E-YY007	EM-325 (THALIDAMIDE)
E-YY008	NORFLOXACIN (MKO-366)
E-YY009	MEDROXYPROGESTERONE ACETATE (MPA)
E-YY010	SYNTEX PELLETS
E-YY011	VALPORIC ACID
E-YY012	ZUCLOMIPHENE
E-YY013	THYMIDINE
E-YY014	NO SIGNIFICANT MICROBIAL GROWTH
E-YY015	STAPHYLOCOCCUS, COAGULASE POSITIVE
E-YY016	STREPTOCOCCUS FECALIS, SS ZYMOGENES
E-YY017	ENTEROCOCCUS, NOS
E-YY018	STREPTOCOCCUS 'VIRIDANS'
E-YY019	CORYNEBACTERIUM ULCERANS
E-YY020	CRYPTOSPORIDIUM, NOS
E-YY021	ENTAMOEBA HARTMANNII
E-YY022	ENTAMOEBA POLECKI
E-YY023	HEXAMITA, NOS
E-YY024	HEPATOCYSTIS, NOS
E-YY025	SARCOCYSTIS, NOS
E-YY026	PARATRIOTAENIA
E-YY027	ATRIOTAENIA
E-YY028	PROSTHENOCCHIS
E-YY029	PNEUMONYSSUS, NOS
E-YY030	RHINOPHAGA, NOS
E-YY031	STREPTOPHAGUS
E-YY032	ATHESMIA, NOS
E-YY033	BRODEMIA, NOS
E-YY038	NO MYCOPLASMA GROWTH
E-YY039	BLASTOCYSTIS, NOS
E-YY040	STRONGYLES, NOS
E-YY041	NO FUNGAL GROWTH
E-YY042	STAIN, GRAM'S, ON PRIMARY SPECIMEN
E-YY043	THIOSTREPTON
E-YY045	SULFASALAZINE
E-YY046	RABBIT ANTI-HUMAN GRF SERUM
E-YY047	SHEEP ANTI-HUMAN SRIF GLOBULIN
E-YY048	GLYPHOSATE
E-YY049	ANTI-SEROTONIN
E-YY050	A-3080
E-YY051	PALMITIC ACID
E-YY052	BENZYL ACETATE
E-YY053	ALFENTINAL
E-YY054	ARV POLYPEPTIDE
E-YY055	DHPG
E-YY056	HUMAN MILK
E-YY057	ENFAMIL WITH IRON
E-YY058	NEGATIVE SHIGELLA, SALMONELLA, YERSINIA, AEROMONAS CULTURE
E-YY059	NEGATIVE CAMPYLOBACTER CULTURE
E-YY060	NEGATIVE YERSINIA CULTURE
E-YY061	BENDECTIN
E-YY062	OPPOSITE SEX PARENTAL BONE MARROW, T-CELL DEPLETED
E-YY063	WIN 32,729 (HORMONE)
E-YY064	MK-0787/0791 (ANTIBIOTIC)
E-YY065	ANTIPYRINE
E-YY066	MPA
E-YY067	SCH 30500 (INTERFERON TYPE)
E-YY068	RECOMBINANT ALPHA-ANTITRYPSIN
E-YY069	PLASMA ALPHA-ANTITRYPSIN
E-YY070	CYCLOPAMINE
E-YY071	DIFLUNISOL
E-YY072	SIRE BONE MARROW, T-CELL DEPLETED
E-YY073	NO PARASITES SEEN
E-YY074	STRONGYLE, NOS
E-YY075	BLASTOCYSTIS HOMINIS
E-YY076	HEXAMITA PITHECI
E-YY077	TRICHOSPIRURA LEPTOSOMA
E-YY078	AMOXICILLIN TRIHYDRATE
E-YY079	CLAVULANATE POTASSIUM
E-YY080	AUGMENTIN
E-YY081	FENBENDAZOLE
E-YY082	IODOQUINOL
E-YY083	IVERMECTIN
E-YY084	METOCLOPRAMIDE
E-YY085	PHENYLEPHRINE HC
E-YY086	NEGATIVE FUNGAL GROWTH
E-YY087	NEGATIVE MYCOPLASMA CULTURE
E-YY088	NEGATIVE YEAST CULTURE
E-YY089	CASEIN
E-YY090	NORLESTRIN
E-YY091	C14-WR3689
E-YY092	RETINOIC ACID
D-00010	DISEASE TYPE OR CATEGORY UNKNOWN
D-00020	DISEASE TYPE NOT APPLICABLE
D-00030	DISEASE TYPE NOT ASSIGNED
D-00110	DISEASE CAUSED BY BACTERIA, NOS
D-01000	INFECTIOUS OR COMMUNICABLE DISEASE, NOS
D-01010	IMMUNOSUPPRESSION RELATED INFECTIOUS DISEASE, NOS
D-01090	OPPORTUNISTIC INFECTIOUS DISEASE, NOS
D-01100	BACTERIAL SEPSIS
D-01110	ACTINOMYCOSIS
D-01130	ANTHRAX
D-01150	BOTULISM
D-01160	BRUCELLOSIS
D-01190	DIPHTHERIA
D-01210	ERYSIPELAS (STREPTOCOCCUS GROUP A, NOS)
D-01220	ERYSIPELOTHRIX INFECTION
D-01350	LEPTOSPIROSIS
D-01370	LISTERIOSIS
D-01430	WATERHOUSE-FRIDERICHSEN SYNDROME
D-01450	MYCOBACTERIAL INFECTIOUS DISEASE, NOS
D-01520	NECROBACILLOSIS
D-01530	NOCARDIOSIS
D-01550	PARATYPHOID FEVER, NOS
D-01590	PASTEURELLOSIS INFECTION
D-01630	PNEUMOCOCCAL INFECTIOUS DISEASE, NOS
D-01640	PNEUMOCOCCAL PNEUMONIA
D-01660	PSEUDOTUBERCULOSIS
D-01740	SALMONELLOSIS
D-01760	SHIGELLOSIS
D-01780	STAPHYLOCOCCAL INFECTION
D-01820	SYPHILLIS
D-01830	TETANUS
D-01880	TUBERCULOSIS
D-01890	TULAREMIA
D-01930	VIBRIOSIS
D-01970	SPIROCHETOSIS (WEILS DISEASE)
D-02020	BOTRYOMYCOSIS
D-02400	MYCOPLASMOSIS, NOS
D-03240	ORNITHOSIS
D-03260	Q FEVER
D-03500	DISEASE CAUSED BY VIRUS, NOS
D-03550	ALEUTIAN DISEASE
D-03780	CYTOMEGALIC INCLUSION DISEASE
D-03950	FOOT AND MOUTH DISEASE
D-04030	HERPESVIRUS INFECTION, NOS
D-04250	LYMPHOCYTIC CHORIOMENINGITIS
D-04300	MEASLES, NOS
D-04380	NEWCASTLE DISEASE
D-04550	PSEUDOCOWPOX
D-04590	RABIES
D-04750	SIMIAN B DISEASE
D-05500	DISEASE CAUSED BY FUNGUS, NOS
D-05520	ASPERGILLOSIS
D-05530	BLASTOMYCOSIS
D-05570	CANDIDIASIS
D-05600	COCCIDIOIDOMYCOSIS
D-05610	CRYPTOCOCCOSIS
D-05670	MUCORMYCOSIS
D-05730	SPOROTRICHOSIS
D-05750	RINGWORM, NOS
D-05900	HISTOPLASMOSIS
D-06500	DISEASE CAUSED BY PARASITE, NOS
D-06510	AMEBIASIS
D-06550	ASCARIASIS
D-06560	ACARIASIS, NOS
D-06570	PIROPLASMOSIS (BABESIASIS)
D-06580	BALANTIDIASIS
D-06610	CAPILLARIASIS
D-06640	CESTODE INFECTION
D-06670	COCCIDIOSIS
D-06700	CYSTICERCOSIS
D-06830	ECHINOCOCCOSIS, NOS
D-06920	FASCIOLIASIS
D-06960	FILARIASIS, NOS
D-07030	GIARDIASIS
D-07200	MALARIA, NOS
D-07260	MYIASIS, NOS
D-07340	PEDICULOSIS
D-07400	SARCOSPORIDIOSIS
D-07410	SCABIES
D-07500	STRONGYLOIDIASIS
D-07560	TOXOCARIASIS, LARVA MIGRANS
D-07570	TOXOPLASMOSIS
D-07590	TRICHINIASIS
D-07600	TRICHOMONIASIS
D-07620	TRICHURIASIS
D-07700	LEISHMANIASIS
D-08000	INFECTIOUS OR COMMUNICABLE DISEASE OF UNDETERMINED ETIOLOGY
D-10000	METABOLIC DISEASE, NOS
D-10010	INBORN ERROR OF METABOLISM, NOS
D-10020	FAILURE TO THRIVE SYNDROME
D-10100	NUTRITIONAL DISEASE, NOS
D-10110	BODY CONDITION SCORE 2 OR LESS
D-10130	DEFICIENCY DISEASE, PROTEIN
D-10140	MALNUTRITION SYNDROME
D-10160	UNDERNUTRITION
D-11000	KETOACIDOSIS, NOS
D-11500	DISEASE OF SIMPLE COMPOUND
D-11740	HYPOKALEMIC SYNDROME, NOS
D-11750	HYPERKALEMIC SYNDROME, NOS
D-11820	DEFICIENCY DISEASE, CALCIUM
D-11870	DEFICIENCY DISEASE, MAGNESIUM
D-11920	HEMOCHROMATOSIS
D-12010	GOUT
D-13500	DISEASE OF LIPID METABOLISM, NOS
D-13600	HYPERLIPOPROTEINEMIA, NOS
D-14000	LIPIDOSIS, NOS
D-14010	XANTHOMATOSIS
D-14700	LIPOFUSCINOSIS, NOS
D-14750	NEURONAL LIPOFUSCINOSIS, ADULT
D-15000	DISEASE OF BILIRUBIN METABOLISM, NOS
D-18050	DEFICIENCY DISEASE, VITAMIN A
D-18100	DEFICIENCY DISEASE, VITAMIN B COMPLEX
D-18150	DEFICIENCY DISEASE, RIBOFLAVIN
D-18300	DEFICIENCY DISEASE, VITAMIN C
D-18400	RICKETS
D-18420	HYPERVITAMINOSIS D
D-18500	DEFICIENCY DISEASE, VITAMIN E
D-18600	DEFICIENCY DISEASE, VITAMIN K
D-20000	ENDOCRINE SYSTEM DISEASE, NOS
D-20220	HERMAPHRODITISM SYNDROME, NOS
D-20240	PSEUDOHERMAPHRODITISM SYNDROME, NOS
D-20400	NEUROENDOCRINE DISEASE OR SYNDROME, NOS
D-21010	DIABETES INSIPIDUS
D-21310	HYPOPITURITARISM, NOS
D-22000	HYPOTHYROIDISM
D-22610	HYPERPARATHYROIDISM
D-22620	HYPERPARATHYROIDISM, PRIMARY
D-22640	HYPERPARATHYROIDISM, SECONDARY
D-23020	CUSHINGS DISEASE (HYPERADRENOCORTICISM)
D-23810	DIABETES MELLITUS, NOS
D-23870	DIABETES MELLITUS, JUVENILE
D-24500	DISEASE OF FEMALE PELVIC ORGANS, NOS
D-24600	DISEASE OR SYNDROME OF UTERUS, NOS
D-25000	DISEASE OR SYNDROME OF REPRODUCTION OR PREGNANCY, NOS
D-25010	TOXEMIA OF PREGNANCY
D-25100	OBSTETRIC SHOCK SYNDROME
D-25130	DEAD FETUS SYNDROME
D-26180	PSEUDOHERMAPHRODITISM, FEMALE
D-30000	OSTEOARTHROPATHY, NOS
D-30500	DISEASE OF JOINT, NOS
D-30600	INFLAMMATORY ARTHROPATHY, NOS
D-30710	RHEUMATOID ARTHRITIS, NOS
D-30900	ARTHRITIS, BACTERIAL (INFECTIOUS ARTHROPATHY)
D-31310	ACUTE TRAUMATIC ARTHROPATHY
D-31500	DEGENERATIVE ARTHROPATHY
D-31510	OSTEOARTHROSIS (OA), NOS
D-32000	VERTEBRAL ARTHROPATHY, NOS
D-32020	ANKYLOSING SPONDYLITIS, NOS
D-32140	INTERVERTEBRAL DISK SYNDROME
D-32210	ANKYLOSING VERTEBRAL HYPEROSTOSIS
D-34000	DISEASE OF BONE, NOS
D-35000	DISEASE OR SYNDROME OF SKIN, NOS
D-35400	URTICARIA, NOS
D-36000	VESICULOBULLOUS DISEASE OF SKIN, NOS
D-36120	PEMPHIGUS FOLIACEUS
D-36210	SUBCORNEAL POSTULAR DERMATOSIS
D-38000	CONNECTIVE TISSUE DISEASE OR SYNDROME, NOS
D-38670	LUPUS ERYTHEMATOSUS, NOS
D-38720	SYSTEMIC LUPUS ERYTHEMATOSIS (SLE)
D-38760	SCLERODERMA
D-38820	NODULAR PANNICULITIS
D-38840	POLYSEROSITIS, PROGRESSIVE MALIGNANT
D-38900	AMYLOIDOSIS, NOS
D-38912	AMYLOIDOSIS, SECONDARY, SYSTEMIC
D-40000	HEMATOPOIETIC SYSTEM DISEASE OR SYNDROME, NOS
D-40100	ANEMIA, NOS
D-40120	ANEMIA, DUE TO ACUTE BLOOD LOSS
D-40130	ANEMIA, DUE TO CHRONIC BLOOD LOSS
D-40140	MICROCYTIC ANEMIA, NOS
D-40150	HYPOCHROMIC MICROCYTIC ANEMIA, NOS
D-40160	MACROCYTIC ANEMIA
D-40300	ANEMIA DUE TO DECREASED RED CELL PRODUCTION, NOS
D-40310	ANEMIA, APLASTIC
D-40350	ANEMIA OF CHRONIC DISEASE
D-40720	IRON DEFICIENCY ANEMIA
D-40790	ANEMIA, NONSPECIFIC (REFRACTORY)
D-42500	HEMOLYTIC ANEMIA, NOS
D-43000	METHEMOGLOBINEMIA, NOS
D-44000	BLOOD COAGULATION DISORDER, DISEASE OR SYNDROME, NOS
D-44110	DISSEMINATED INTRAVASCULAR COAGULATION (DIC) SYNDROME
D-45440	IDIOPATHIC THROMBOCYTOPENIC PURPURA, NOS
D-45470	THROMBOCYTOPENIC PURPURA, SECONDARY
D-46000	IMMUNE DEFICIENCY DISORDER, DISEASE OR SYNDROME, NOS
D-46010	IMMUNE DEFICIENCY DISORDER, PRIMARY
D-46021	SAIDS, NATURALLY TRANSMITTED
D-46022	SAIDS, EXPERIMENTALLY TRANSMITTED
D-46150	HYPOPLASIA, HEMATOPOIETIC
D-46700	GASTRODISCOIDES, NOS
D-46800	ERYTHROBLASTOSIS FETALIS
D-47970	ALLERGIC RHINITIS
D-48100	ANAPHYLAXIS, NOS
D-60000	DISEASE OR SYNDROME OF DIGESTIVE SYSTEM, NOS
D-60300	DISEASE OF ORAL CAVITY, NOS
D-60310	DISEASE OF TEETH, NOS
D-60400	PERIODONTAL DISEASE, NOS
D-62000	ENTEROPATHY
E-YY093	CORTISOL
E-YY094	ALFENTINAL
E-YY095	TRITIATED THYMIDINE
E-YY096	METASYSTOX-R C14
E-YY097	DINOSEB C14
E-YY098	RO23-6726
E-YY099	ANTIENDOTOXIN MONOCLONAL ANTIBODY
E-YY100	SIMILAC
E-YY101	SMA FORMULA
E-YY102	NEGATIVE RESULT
E-YY103	MISCELLANEOUS COLONIES
E-YY104	COW MILK
E-YY105	GRF ANTAGONIST
E-YY106	TIN PROTOPORPHYRIN
E-YY107	ZINC PROTOPORPHYRIN
E-YY108	SHEEP GAMMA GLOBULIN
E-YY109	SOYBEAN MILK
E-YY110	DEPHYTINIZED SOY FORMULA
E-YY111	RABBIT GAMMA GLOBULIN
E-YY112	RABBIT SERUM
E-YY113	PR8620 COW PROTEIN FORMULA
E-YY114	FLAGGELATE, NOS
E-YY115	CLOSTRIDIUM DIFFICILE TOXIN A, PRESENT
E-YY116	NO CLOSTRIDIUM DIFFICILE TOXIN A DETECTED
E-YY117	CULTURE CONTAMINATED
E-YY118	CAMPYLOBACTER, LARIDIS
E-YY119	CAMPYLOBACTER, HYOINTESTINALIS
E-YY120	CAMPYLOBACTER, GCLO-2
E-YY121	ENCEPHALIZITOZOON CUNICULI
E-YY122	PROZYME
E-YY430	CVYPTOSPOVIDIA
F-00102	ILLNESS, NOS
F-00150	GENERAL BODY DETERIORATION
F-00400	FUNCTIONAL DISORDER, NOS  (T-.....)
F-00410	FUNCTIONAL DISORDER, LOCALIZED
F-00420	FUNCTIONAL DISORDER, GENERALIZED
F-01000	GENERAL BODY STATE, NOS
F-01050	POSTOPERATIVE STATE
F-01060	POSTTRAUMATIC STATE  (T-.....) (M-.....)
F-01100	POSTINFECTIOUS STATE  (E-00070)
F-01120	SEPTIC STATE
F-01130	BACTEREMIA  (T-0X000)
F-01160	POSTTRANSFUSION STATE
F-01220	TOXIC STATE  (CODE TO E OR F)
F-01250	CARRIER STATE, NOS
F-01255	CARRIER STATE, DISEASE NOT EXPRESSED
F-01256	CARRIER STATE, DISEASE EXPRESSED
F-01260	CARRIER STATE, INFECTIOUS AGENT  (E-....)
F-01300	SYMKBIOSIS
F-01310	PARASITISM
F-01400	STRESS, NOS
F-01410	STRESS, PSYCHOLOGICAL
F-01420	STRESS, PHYSICAL
F-01430	DISTRESS, NOS
F-01600	EXHAUSTION, NOS
F-01610	FATIGUE
F-01620	WEAKNESS  (ASTHENIA)
F-01621	WEAKNESS, INFANT
F-01670	FAILURE TO LOSE WEIGHT
F-01680	FAILURE TO GAIN WEIGHT
F-01700	BODY WEIGHT, NOS
F-01703	BODY WEIGHT GAIN
F-01704	BODY WEIGHT LOSS
F-01740	STATE OF EXCESS
F-01750	DEFICIENCY STATE
F-01760	FASTING STATE
F-01770	FOOD DEPRIVATION
F-01780	WATER DEPRIVATION
F-01790	HYDRATION SCORE 2 OR LESS
F-01810	OVERHYDRATION
F-01820	FLUID RETENTION STATE
F-01830	EXPOSURE, NOS
F-01890	INTOLERANCE, NOS
F-02000	ACUTE ABDOMINAL COMPLAINT
F-02110	DISEASE ACTIVITY, FOLLOWING THERAPY, ACTIVE
F-02120	DISEASE ACTIVITY, FOLLOWING
F-02200	ACCLIMATION, NOS
F-02300	STATE OF OBSTRUCTION
F-02310	STATE OF RESTRICTION
F-02320	STATE OF IMPAIRMENT
F-02450	HEALING STATE
F-02460	FAILURE TO HEAL STATE
F-02500	INCONTINENCE, NOS
F-02700	GLANDULAR FUNCTION, EXOCRINE, NOS
F-03003	HYPERTHERMIA  (BODY TEMPERATURE, INCREASED)
F-03004	HYPOTHERMIA  (BODY TEMPERATURE, DECREASED)
F-03180	HEAT EXHAUSTION, NOS
F-03190	ANHIDROTIC HEAT EXHAUSTION
F-03340	BODY ODOR, UNPLEASANT
F-03350	BODY ODOR, AMMONIACAL
F-03410	HAIR GROWTH FUNCTION, NOS
F-03412	HAIR GROWTH FUNCTION, ABNORMAL
F-03413	HAIR GROWTH FUNCTION, INCREASED
F-03414	HAIR GROWTH FUNCTION, DECREASED
F-03415	HAIR GROWTH FUNCTION, ABSENT
F-03431	KERATINIZATION, NORMAL
F-03433	KERATINIZATION, INCREASED
F-03434	KERATINIZATION, DECREASED
F-03530	PERCUTANEOUS PENETRATION, NOS
F-04000	GENERAL METABOLIC FUNCTION, NOS
F-04010	ANABOLISM
F-04020	CATABOLISM
F-04330	OXIDATION-REDUCTION
F-04400	FAILURE, NOS
F-04410	INSUFFICIENCY
F-04430	COMPENSATION
F-04470	SEQUESTRATION
F-04500	OSMOLARITY, NOS
F-04503	HYPEROSMOLARITY
F-04504	HYPOOSMOLARITY
F-04573	SPECIFIC GRAVITY, INCREASE
F-04574	SPECIFIC GRAVITY, DECREASE
F-04600	DIATHESIS, NOS
F-08000	INFANCY, NOS
F-08010	INFANCY, PREMATURE
F-08020	INFANCY, TERM
F-08030	INFANCY, POSTMATURE
F-08040	JUVENILE
F-08100	CHILDHOOD
F-08200	ADULTHOOD
F-08240	OLD-AGE
F-10120	CALCIUM, NOS
F-10123	CALCIUM, INCREASED LEVEL
F-10124	CALCIUM, DECREASED LEVEL
F-10173	CARBON DIOXIDE, INCREASED LEVEL
F-10174	CARBON DIOXIDE, DECREASED LEVEL
F-10200	CARBON DIOXIDE, TOTAL
F-10210	BICARBONATE
F-10213	BASE EXCESS
F-10214	BASE DEFICIT
F-10230	CHLORIDE
F-10233	CHLORIDE, INCREASED LEVEL
F-10234	CHLORIDE, DECREASED LEVEL
F-10270	COPPER
F-10303	HYDROGEN ION INCREASE
F-10304	HYDROGEN ION DECREASE
F-10360	IRON
F-10364	IRON DECREASED LEVEL
F-10463	NITROGEN, NON-PROTEIN, INCREASED LEVEL AZOTEMIA
F-10474	OXYGEN DECREASE
F-10475	OXYGEN, ABSENCE
F-10510	PHOSPHORUS, NOS
F-10513	PHOSPHORUS, INCREASED LEVEL
F-10514	PHOSPHORUS, DECREASED LEVEL
F-10530	POTASSIUM, NOS
F-10533	POTASSIUM, INCREASED LEVEL
F-10534	POTASSIUM, DECREASED LEVEL
F-10580	SODIUM
F-10583	SODIUM, INCREASED LEVEL
F-10584	SODIUM, DECREASED LEVEL
F-10650	ZINC
F-11230	KETONE BODIES
F-11390	CREATININE
F-11470	URIC ACID, NOS
F-11823	GLUCOSE, INCREASED LEVEL
F-11824	GLUCOSE, DECREASED LEVEL
F-11826	GLUCOSE, ABNORMAL PRESENCE
F-12210	PROTEIN, SERUM, NOS
F-12213	PROTEIN, SERUM, INCREASED LEVEL
F-12214	PROTEIN, SERUM, DECREASED LEVEL
F-12220	ALBUMIN
F-12226	ALBUMIN, ABNORMAL PRESENCE
F-12280	GLOBULIN, NOS
F-12330	FERRITIN
F-12580	TRANSFERRIN
F-12660	PEPTIDE
F-12700	PROTEIN, URINE, NOS
F-12706	PROTEIN, URINE, ABNORMAL PRESENCE
F-12990	PIGMENT, NOS
F-12992	PIGMENT, ABNORMAL
F-13040	COLLAGEN
F-13166	MYOGLOBIN, ABNORMAL PRESENCE
F-13200	FATTY ACID, NOS
F-13500	LIPOPROTEIN, NOS
F-13600	LIPID, NOS
F-13602	LIPID DISORDER
F-13980	CHOLESTEROL
F-14040	SURFACTANT, NOS
F-14200	AMINO ACID, NOS
F-14800	PORPHYRIN, NOS
F-15000	BILIRUBIN, NOS
F-15003	BILIRUBIN, INCREASED LEVEL
F-15010	BILIRUBIN, INDIRECT REACTING
F-15020	BILIRUBIN, DIRECT REACTING, NOS
F-15050	BILE PIGMENT, NOS
F-15100	BILIVERDIN
F-15110	UROBILINOGEN, NOS
F-15140	BILE ACID, NOS
F-16000	VITAMIN, NOS
F-16070	VITAMIN D, NOS
F-16080	VITAMIN D2
F-16090	VITAMIN D3
F-16270	ASCORBIC ACID
F-16290	FOLIC ACID
F-16360	FAT-SOLUBLE VITAMIN, NOS
F-16380	WATER-SOLUBLE VITAMIN, NOS
F-16400	HEMOGLOBIN, NOS
F-16406	HEMOGLOBIN, ABNORMAL PRESENCE
F-18170	SUCKING REFLEX
F-20000	ENZYME, NOS
F-20260	ALKALINE PHOSPHATASE, NOS
F-20270	ALKALINE PHOSPHATASE ISOENZYME, NOS
F-20280	ALKALINE PHOSPHATASE, LIVER FRACTION
F-20290	ALKALINE PHOSPHATASE, BONE FRACTION
F-20300	ALKALINE PHOSPHATASE, PLACENTAL FRACTION
F-20310	ALKALINE PHOSPHATASE, INTESTINAL FRACTION
F-20400	ISOENZYME, NOS
F-20540	AMYLASE, ALPHA
F-20920	CREATINE KINASE (CK)
F-20930	CREATINE KINASE (CK) ISOENZYME, NOS
F-21000	DEOXYRIBONUCLEASE
F-22010	LACTATE DEHYDROGENASE
F-22020	LACTIC DEHYDROGENASE ISOENZYME, NOS
F-22030	LACTIC DEHYDROGENASE ISOENZYME, HHHH (HEART) FRACTION
F-22040	LACTIC DEHYDROGENASE ISOENZYME, HHHM FRACTION
F-22050	LACTIC DEHYDROGENASE ISOENZYME, HHMM FRACTION
F-22060	LACTIC DEHYDROGENASE ISOENZYME, HMMM FRACTION
F-22070	LACTIC DEHYDROGENASE ISOENZYME, MMMM (LIVER) FRACTION
F-22080	LACTOSYL CERAMIDE BETA-GALACTOSIDASE
F-22130	LIPASE, NOS
F-22140	LIPASE, PANCREATIC
F-23160	ASPARTATE ALANINE TRANSFERASE
F-23170	ALANINE AMINO TRANSFERASE
F-25000	ENDOCRINE SUBSTANCE, NOS
F-25002	HORMONAL DISORDER
F-25040	STEROID HORMONE, NOS
F-25050	GONADAL HORMONE, NOS
F-25060	TESTICULAR HORMONE, NOS
F-25070	OVARIAN HORMONE, NOS
F-25100	HYPOTHALAMIC RELEASING FACTOR (HRF), NOS
F-25400	ANTERIOR PITUITARY HORMONE, NOS
F-25450	PROLACTIN
F-25460	ADRENOCORTICOTROPIC HORMONE (ACTH)
F-25500	THYROID STIMULATING HORMONE (TSH)
F-25510	FOLLICLE STIMULATING HORMONE
F-25520	LUTEINIZING HORMONE (LH), PITUITARY
